episode,controller,reward,energy_wh,dist_m,wh_per_km,comfort_score,success,trip_type,traffic,payload
37,RuleBased,-163.1310607778487,62.43480194668582,2444.830363717917,25.537478130686992,0.0,True,1,0,30
38,RL_Adaptive,-17.65639746506101,3.7727215842697253,543.7362423838244,6.938514099647884,0.5046731905064465,False,0,1,60
38,Eco,-836.1984714627351,107.06793858847335,9721.891381984542,11.013077021913555,0.0,True,0,1,60
38,Commute,-1206.279038199851,183.78639996885246,9721.963177420394,18.904247693069127,0.0,True,0,1,60
38,Sport,-2094.3460009229693,352.2212316791656,9721.73858885029,36.230271824334245,0.0,True,0,1,60
38,RuleBased,-1468.3582072556924,217.90388664183382,9720.85831559467,22.416115899175477,0.0,True,0,1,60
39,RL_Adaptive,-0.048181577528756486,0.0,0.0,0.0,0.9889088227675449,False,2,2,60
39,Eco,-2859.1669044975197,5.888085107775456,3651.513270262447,1.6125054660837257,0.0,False,2,2,60
39,Commute,-2614.227994645703,49.195658217994584,4459.207250701663,11.032377607085557,0.0,False,2,2,60
39,Sport,-2760.4746762850677,142.18723114206293,6943.5224283953985,20.477680112415428,0.0,True,2,2,60
39,RuleBased,-2573.8694991462385,44.766765359050616,3728.118634877406,12.007870388095284,0.0,False,2,2,60
40,RL_Adaptive,-47.55686213838901,4.5989236016030395,527.3833619347713,8.720266761414917,0.23164760271581547,False,2,0,0
40,Eco,-456.0136407322347,49.125212153048984,3538.6600477076095,13.882433319604392,0.0,True,2,0,0
40,Commute,-761.0115373361891,86.68808474960043,3537.6062258585816,24.50472981304219,0.0,True,2,0,0
40,Sport,-790.2568309643276,116.53786623789439,3537.6313877431976,32.94234290255965,0.0,True,2,0,0
40,RuleBased,-660.6548677865252,77.55342206918444,3537.173680436247,21.925251366118843,0.0,True,2,0,0
41,RL_Adaptive,-0.025739522955144617,0.0,0.0,0.0,0.9952447637812689,False,1,2,30
41,Eco,-3489.576662681052,18.527057538906934,4170.619540039111,4.442279464967259,0.0,False,1,2,30
41,Commute,-3647.416265769579,46.51116769831603,5460.479572084398,8.51778073414925,0.0,False,1,2,30
41,Sport,-2470.1062459410937,100.5561106453723,5554.1412192959415,18.104709022526272,0.0,True,1,2,30
41,RuleBased,-3467.1844129189844,55.287284179398036,4464.79743421544,12.38293225930264,0.0,False,1,2,30
42,RL_Adaptive,-0.1309709495555603,0.0,0.0,0.0,0.9760378822443547,False,0,0,60
42,Eco,-1212.2928228630021,127.32821617479652,7644.589913638642,16.65599039493687,0.0,False,0,0,60
42,Commute,-1797.777205775071,203.49729964717454,7999.174220936419,25.439788411478332,0.0,False,0,0,60
42,Sport,-2222.1447195616115,305.31443512957395,8333.800865729016,36.63567681165921,0.0,True,0,0,60
